ID,Specie,Year,Month,Author,Locality,Latitude,Longitude,Depth (m),Area (m2),Estimated coordinates,Reference,ANP,Protection Level,Validation,Estimated Area,Area Loss,Loss Index,Pollution ,Coastal.Modification,Biological.Resource.Use,MHWs,Minning,Threat index ,Red List Category,Zone,State,Region
86,Zostera marina,2000,March-April,Torre-Cosio,Bahia El Sargento,29.32,-112.31,DD,DD,Yes,Inventario y monitoreo del Canal del Infiernillo para el co-manejo de los recursos marinos en el territorio Seri. Golfo de California,"Reserva de la Biosfera Zona Marina Bahía de los Angeles, Canales de Ballenas y de Salsipuedes",1,DD,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora,Central Gulf
87,Zostera marina,1986-1988,DD,Ramirez-Garcia y Lot,Bahia El Sargento,29.32,-112.35,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora,Central Gulf
88,Ruppia maritima,2009,DD,Meling-Lopez,Bahia Lobos,27.38,-110.5,DD,DD,Yes,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica.,Sitio Ramsar Complejo Lagunar Bahía Guásimas – Estero Lobos,0,Yes,DD,DD,,1,1,1,0.0517793,0,,,Bahia Lobos,Sonora ,Central Gulf
89,Ruppia maritima,2009,DD,Meling-Lopez,Bahia Lobos,27.42,-110.53,DD,DD,No,Com.Pers.,Sitio Ramsar Humedales de la laguna de La Cruz,1,Yes,DD,DD,,1,1,1,0.05178,0,,,Bahia de Kino,Sonora,Central Gulf
90,Zostera marina,2007,DD,Orduna-Rojas y Riosmena-Rodriguez,Bahia Navachiste - Isla El Metate,25.48,-108.88,DD,DD,No,Inventario de la macrofauna marina de interes economico de las islas del norte de Sinaloa. Mexico,Sitio Ramsar Sistema Lagunar San Ignacio-Navachiste-Macapule,1,No,DD,DD,,1,1,1,0.04408,0,,,Navachiste,Sinaloa ,Southern Gulf
91,Zostera marina,1949,March,Dawson,Bahia San Carlos,27.97,-111.12,DD,DD,Yes,SI NMNH,Sitio Ramsar Estero El Soldado,1,Yes,DD,DD,,1,1,1,0.0507,0,,,Estero el Soldado,Sonora,Central Gulf
92,Zostera marina,1970,DD,Den Hartog,Bahia San Carlos,27.94,-111.06,DD,DD,Yes,The seagrasses of the world,Sitio Ramsar Estero El Soldado,1,No,DD,DD,,1,1,1,0.0507,0,,,Estero el Soldado,Sonora,Central Gulf
93,Zostera marina,1970,DD,Den Hartog,Bahia San Carlos,27.95,-111.06,DD,DD,No,The seagrasses of the world,Sitio Ramsar Estero El Soldado,1,DD,DD,DD,,1,1,1,0.0507,0,,,Estero el Soldado,Sonora,Central Gulf
94,Zostera marina,1973,March,Brown,Bahia San Carlos,27.98,-111.12,DD,DD,No,ASU_Plants,Sitio Ramsar Estero El Soldado,1,DD,DD,DD,,1,1,1,0.0507,0,,,Estero el Soldado,Sonora,Central Gulf
95,Zostera marina,1976,DD,Felger y Lowe,Bahia San Carlos,27.94,-111.06,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,Sitio Ramsar Estero El Soldado,1,No,DD,DD,,1,1,1,0.0507,0,,,Estero el Soldado,Sonora,Central Gulf
96,Ruppia maritima,1976,DD,Felger y Lowe,Bahia San Carlos,27.97,-111.12,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,Sitio Ramsar Estero El Soldado,1,Yes,DD,DD,,1,1,1,0.0507,0,,,Estero el Soldado,Sonora,Central Gulf
97,Zostera marina,1977,DD,Sheridan y Felger,Bahia San Carlos,27.97,-111.12,DD,DD,Yes,Indian utilization of Eelgrass (Zostera marina L.) in Northewestern Mexico: The Spanish Colonial Record,Sitio Ramsar Estero El Soldado,1,Yes,DD,DD,,1,1,1,0.0507,0,,,Estero el Soldado,Sonora,Central Gulf
98,Zostera marina,1980,March,Lehto,Bahia San Carlos,27.95,-111.06,DD,DD,Yes,MEXU,Sitio Ramsar Estero El Soldado,1,DD,DD,DD,,1,1,1,0.0507,0,,,Estero el Soldado,Sonora,Central Gulf
99,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Bahia San Gabriel,24.43,-110.36,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Parque Nacional Zona marina del Archipielago de Espiritu Santo,2,DD,DD,DD,,0,0,0,0.04274,0,,,Isla Espiritu Santo,Baja California Sur,Southern Gulf
100,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Bahia San Gabriel,24.43,-110.36,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Parque Nacional Zona marina del Archipielago de Espiritu Santo,2,DD,DD,DD,,0,0,0,0.04274,0,,,Isla Espiritu Santo,Baja California Sur,Southern Gulf
101,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Bahia San Gabriel,24.43,-110.36,DD,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Parque Nacional Zona marina del Archipielago de Espiritu Santo,2,DD,DD,DD,,0,0,0,0.04274,0,,,Isla Espiritu Santo,Baja California Sur,Southern Gulf
102,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Bahia San Gabriel,24.43,-110.36,DD,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Parque Nacional Zona marina del Archipielago de Espiritu Santo,2,DD,DD,DD,,0,0,0,0.04274,0,,,Isla Espiritu Santo,Baja California Sur,Southern Gulf
103,Halodule wrightii,1999,June,Felger et al.,Bahia San Miguel,28.97,-112.2,DD,DD,Yes,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo,Sonora ,Central Gulf
104,Zostera marina,1999,June,Felger et al.,Bahia San Miguel,28.97,-112.2,DD,DD,Yes,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo,Sonora ,Central Gulf
105,Halodule wrightii,1970-1980,June-November,Felger et al.,Bahia San Miguel,28.97,-112.2,DD,DD,Yes,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo,Sonora ,Central Gulf
106,Ruppia maritima,1970-1981,June-November,Felger et al.,Bahia San Miguel,28.97,-112.2,DD,DD,Yes,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo,Sonora ,Central Gulf
107,Zostera marina,1992,September,Felger,Bahia Santa Maria,25.01,-108.2,DD,DD,No,ASU_Plants,Sitio Ramsar Laguna Playa Colorada-Santa María La Reforma,1,No,DD,DD,,1,1,1,0.03931,0,,,Bahia Santa Maria,Sinaloa,Southern Gulf
108,Zostera marina,2006,DD,Ulloa et al.,Bahia Santa Maria,25.09,-108.13,DD,DD,Yes,Planeacion ecorregional para la conservacion marina: Golfo de California y costa occidental de Baja California Sur,Sitio Ramsar Laguna Playa Colorada-Santa María La Reforma,1,No,DD,DD,,1,1,1,0.04522,0,,,Bahia Santa Maria,Sinaloa,Southern Gulf
109,Zostera marina,2000-2002,March-June,Riosmena-Rodriguez et al.,Bahia Santa Maria,25.01,-108.2,DD,DD,Yes,Conservation status of Zostera marina populations at Mexican Pacific,Sitio Ramsar Laguna Playa Colorada-Santa María La Reforma,1,No,DD,DD,,1,1,1,0.03931,0,,,Bahia Santa Maria,Sinaloa,Southern Gulf
110,Zostera marina,2000-2002,March-June,Muniz-Salazar et al.,Bahia Santa Maria,25.09,-108.09,DD,DD,Yes,Population genetic structure of annual and perennial populations of Zostera marina along the Pacific coast of Baja California and the Gulf of California,Sitio Ramsar Laguna Playa Colorada-Santa María La Reforma,1,Yes,DD,DD,,1,1,1,0.04522,0,,,Bahia Santa Maria,Sinaloa,Southern Gulf
111,Zostera marina,2000-2002,March-June,Talbots et al.,Bahia Santa Maria,25.09,-108.13,DD,DD,Yes,The structure of genetic diversity in Eelgrass (Zostera marina L.) along the North Pacific and Bering Sea coasts of Alaska,Sitio Ramsar Laguna Playa Colorada-Santa María La Reforma,1,Yes,DD,DD,,1,1,1,0.04522,0,,,Bahia Santa Maria,Sinaloa,Southern Gulf
112,Zostera marina,2000-2002,November-May,Muniz-Salazar et al.,Bahia Santa Maria,25.09,-108.13,DD,DD,No,Population genetic structure of annual and perennial populations of Zostera marina along the Pacific coast of Baja California and the Gulf of California,Sitio Ramsar Laguna Playa Colorada-Santa María La Reforma,1,No,DD,DD,,1,1,1,0.04522,0,,,Bahia Santa Maria,Sinaloa,Southern Gulf
113,Zostera marina,2009,June,Lopez-Calderon et al.,Bajo Callero,29.15,-112.18,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo,Sonora ,Central Gulf
114,Zostera marina,2010,May,Lopez-Calderon et al.,Bajo Callero,29.15,-112.18,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora,Central Gulf
115,Ruppia maritima,2009,May,Lopez-Calderon et al.,Balandra,24.32,-110.33,DD,DD,Yes,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica.,Area de Proteccion de Flora y Fauna Balandra,2,No,0,DD,,0,0,0,0.04274,0,,,La Paz,Baja California Sur,Southern Gulf
116,Ruppia maritima,2009,May,Lopez-Calderon et al.,Balandra,24.32,-110.33,DD,DD,Yes,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica.,Area de Proteccion de Flora y Fauna Balandra,2,No,0,DD,,0,0,0,0.04274,0,,,La Paz,Baja California Sur,Southern Gulf
117,Ruppia maritima,2009,May,Lopez-Calderon et al.,Balandra,24.32,-110.33,DD,DD,Yes,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",Area de Proteccion de Flora y Fauna Balandra,2,No,0,DD,,0,0,0,0.04274,0,,,La Paz,Baja California Sur,Southern Gulf
118,Ruppia maritima,2009,May,Lopez-Calderon et al.,Balandra,24.32,-110.33,DD,DD,Yes,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",Area de Proteccion de Flora y Fauna Balandra,2,No,0,DD,,0,0,0,0.04274,0,,,La Paz,Baja California Sur,Southern Gulf
119,Ruppia maritima,2014,DD,CONANP,Balandra,24.32,-110.33,DD,DD,Yes,Fichas de evaluacion ecologica de areas naturales protegidas del Noroeste de Mexico. Area de proteccion de flora y fauna Balandra,Area de Proteccion de Flora y Fauna Balandra,2,No,0,DD,,0,0,0,0.04274,0,,,La Paz,Baja California Sur,Southern Gulf
120,Ruppia maritima,2014,DD,CONANP,Balandra,24.32,-110.33,DD,DD,Yes,Fichas de evaluacion ecologica de areas naturales protegidas del Noroeste de Mexico. Area de proteccion de flora y fauna Balandra,Area de Proteccion de Flora y Fauna Balandra,2,No,0,DD,,0,0,0,0.04274,0,,,La Paz,Baja California Sur,Southern Gulf
121,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Cabo San Lucas,22.9,-109.89,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Area de Proteccion de Flora y Fauna Cabo San Lucas,1,No,DD,DD,,1,0,1,0.03915,0,,,Los Cabos,Baja California Sur,Southern Gulf
122,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Cabo San Lucas,22.9,-109.89,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Area de Proteccion de Flora y Fauna Cabo San Lucas,1,No,DD,DD,,1,0,1,0.03915,0,,,Los Cabos,Baja California Sur,Southern Gulf
123,Zostera marina,1968,March,Moser,Campo Almond,29.11,-112.18,DD,DD,Yes,MEXU,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
124,Ruppia maritima,1977,March,Felger et al.,Campo Viboras,29.09,-112.22,DD,DD,Yes,MEXU,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo,Sonora ,Central Gulf
125,Zostera marina,2000,September,Seminoff et al.,Campo Viboras,29.09,-112.22,DD,DD,No,"First diet evidence of migration by an east pacific green seaturtle from Michoacan, Mexico to a feeding ground on the sonoran coast of the Gulf of California",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo,Sonora ,Central Gulf
126,Zostera marina,1944,DD,Dawson,Canal del Infiernillo,29.11,-112.18,DD,DD,Yes,The marine algae of the Gulf of California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
127,Zostera marina,1973,April,Felger et al.,Canal del Infiernillo,29.13,-112.22,DD,DD,No,Eelgras (Zostera marina) in the Gulf of California: Discovery of its nutritional value by the Seri Indians,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora,Central Gulf
128,Ruppia maritima,1973,June,Felger,Canal del Infiernillo,29.04,-112.21,DD,DD,No,ARIZ,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
129,Zostera marina,1974,April,Phillips et al.,Canal del Infiernillo,29.13,-112.22,DD,DD,Yes,Reproductive strategies of Eelgrass (Zostera marina L.),Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora,Central Gulf
130,Zostera marina,1980,DD,Sheridan y Felger,Canal del Infiernillo,29.13,-112.22,DD,DD,No,Indian Utilization of Eelgrass (Zostera marina L.) in Northwestern Mexico: The SpanishColonial Record,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora,Central Gulf
131,Zostera marina,2000,March-April,Torre-Cosio,Canal del Infiernillo,29.01,-112.16,DD,DD,Yes,Inventario y monitoreo del Canal del Infiernillo para el co-manejo de los recursos marinos en el territorio Seri. Golfo de California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
132,Zostera marina,2002,DD,Felger et al.,Canal del Infiernillo,29.13,-112.22,DD,DD,Yes,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora,Central Gulf
133,Zostera marina,2004,DD,Brusca et al.,Canal del Infiernillo,29.04,-112.22,DD,DD,No,A seashore guide to the northern Gulf of California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,DD,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
134,Zostera marina,2004,DD,Brusca et al.,Canal del Infiernillo,29.042,-112.207,DD,DD,Yes,The Gulf of California: Biodiversity and Conservation,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
135,Zostera marina,2004,DD,Felger et al.,Canal del Infiernillo,29.11,-112.18,DD,DD,No,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
136,Zostera marina,2009,January-May,Riosmena-Rodriguez et al.,Canal del Infiernillo,29.042,-112.207,DD,DD,No,Conservation status of Zostera marina populations at Mexican Pacific,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
137,Ruppia maritima,2009,March,Lopez-Calderon et al.,Canal del Infiernillo,29.11,-112.18,DD,DD,Yes,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
138,Ruppia maritima,2009,October,Lopez-Calderon et al.,Canal del Infiernillo,29,-112.16,DD,DD,No,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
139,Ruppia maritima,2009,October,Lopez-Calderon et al.,Canal del Infiernillo,29.11,-112.18,DD,DD,Yes,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
140,Ruppia maritima,2010,April,Lopez-Calderon et al.,Canal del Infiernillo,29.11,-112.18,DD,DD,Yes,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
141,Ruppia maritima,2010,March,Lopez-Calderon et al.,Canal del Infiernillo,29.11,-112.19,DD,DD,Yes,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
142,Ruppia maritima,2010,March,Lopez-Calderon et al.,Canal del Infiernillo,29.11,-112.18,DD,DD,Yes,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
143,Ruppia maritima,2010,October,Lopez-Calderon et al.,Canal del Infiernillo,29.11,-112.18,DD,DD,Yes,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
144,Zostera marina,2013,January-February,Riosmena-Rodriguez et al.,Canal del Infiernillo,29.13,-112.22,DD,DD,Yes,Conservation status of Zostera marina populations at Mexican Pacific,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora,Central Gulf
145,Zostera marina,1986-1988,January-June,Ramirez-Garcia y Lot,Canal del Infiernillo,29.32,-112.35,3,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora,Central Gulf
146,Zostera marina,1986-1988,DD,Ramirez-Garcia y Lot,Canal del Infiernillo,29.042,-112.207,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
147,Zostera marina,1999-2001,DD,Torre-Cosio & Bourillon-Moreno,Canal del Infiernillo,29.042,-112.207,DD,DD,Yes,"Impacts of the swimming crab (Callinectes bellicosus) fishery in the Canal del Infiernillo, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
148,Zostera marina,1999-2001,October-June,Bourillon-Moreno,Canal del Infiernillo,29.11,-112.18,DD,DD,Yes,"Exclusive fishing zone as a strategy for managing fishery resources by the Seri Indians, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
149,Ruppia maritima,1999-2001,October-June,Bourillon-Moreno,Canal del Infiernillo,29.13,-112.22,DD,DD,Yes,"Exclusive fishing zone as a strategy for managing fishery resources by the Seri Indians, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora,Central Gulf
150,Halodule wrightii,1999-2001,October-June,Torre-Cosio et al.,Canal del Infiernillo,29.13,-112.22,DD,DD,Yes,"Marine inventory and selection of monitoring species in the Seri Indian Territory, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora,Central Gulf
151,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Canal del Infiernillo,29.13,-112.22,DD,DD,Yes,"Marine inventory and selection of monitoring species in the Seri Indian Territory, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora,Central Gulf
152,Ruppia maritima,1999-2001,October-June,Torre-Cosio et al.,Canal del Infiernillo,29.17,-112.27,DD,DD,Yes,"Marine inventory and selection of monitoring species in the Seri Indian Territory, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora,Central Gulf
153,Zostera marina,2000-2002,March-June,Muniz-Salazar et al.,Canal del Infiernillo,29.01,-112.16,DD,DD,Yes,Population genetic structure of annual and perennial populations of Zostera marina along the Pacific coast of Baja California and the Gulf of California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
154,Zostera marina,2000-2002,March-June,Talbots et al.,Canal del Infiernillo,29.01,-112.16,DD,DD,Yes,The structure of genetic diversity in Eelgrass (Zostera marina L.) along the North Pacific and Bering Sea coasts of Alaska,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
155,Zostera marina,2000-2002,November-May,Muniz-Salazar et al.,Canal del Infiernillo,29.17,-112.27,DD,DD,No,Population genetic structure of annual and perennial populations of Zostera marina along the Pacific coast of Baja California and the Gulf of California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora,Central Gulf
156,Ruppia maritima,1992,March,Edwards et al.,Cienega de Santa Clara,31.72,-114.65,DD,DD,Yes,"Cienega de Santa Clara: endangered wetland in the Colorado river delta, Sonora, Mexico",Reserva de la Biosfera Alto Golfo de California y Delta del Rio Colorado,2,DD,DD,DD,,0,0,0,0.06102,0,,,Cienega de Santa Clara,Baja California y Sonora,Upper Gulf 
157,Ruppia maritima,1992,March,Edwards et al.,Cienega de Santa Clara,31.72,-114.65,DD,DD,Yes,"Cienega de Santa Clara: endangered wetland in the Colorado river delta, Sonora, Mexico",Reserva de la Biosfera Alto Golfo de California y Delta del Rio Colorado,2,DD,DD,DD,,0,0,0,0.06102,0,,,Cienega de Santa Clara,Baja California y Sonora,Upper Gulf 
158,Ruppia maritima,1993,April,Ortiz-Reina,Cienega de Santa Clara,31.86,-114.62,DD,DD,Yes,MEXU,Reserva de la Biosfera Alto Golfo de California y Delta del Rio Colorado,2,DD,DD,DD,,0,0,0,0.06102,0,,,Cienega de Santa Clara,Baja California y Sonora,Upper Gulf 
159,Ruppia maritima,1993,March,Felger y Ortiz-Reyna,Cienega de Santa Clara,31.86,-114.62,DD,DD,No,MEXU,Reserva de la Biosfera Alto Golfo de California y Delta del Rio Colorado,2,DD,DD,DD,,0,0,0,0.06102,0,,,Cienega de Santa Clara,Baja California y Sonora,Upper Gulf 
160,Halophila decipiens,1999,April,Santamaria-Gallegos et al.,Costa Baja,24.21,-110.3,3,DD,Yes,"Estudio de las praderas de fanerogamas marinas en Baja California Sur (Mexico): Ciclo de vida y estrategias reproductivas de Zostera marina, Halodule wrightii y Halophila decipiens",No,0,No,0,DD,,0,1,1,0.04274,0,,,La Paz,Baja California Sur,Southern Gulf
161,Halodule wrightii,1999,June,Santamaria-Gallegos et al.,Costa Baja,24.21,-110.3,0.5,DD,Yes,"Estudio de las praderas de fanerogamas marinas en Baja California Sur (Mexico): Ciclo de vida y estrategias reproductivas de Zostera marina, Halodule wrightii y Halophila decipiens",No,0,No,0,DD,,0,1,1,0.04274,0,,,La Paz,Baja California Sur,Southern Gulf
162,Ruppia maritima,1999,May,Santamaria-Gallegos et al.,Costa Baja,24.21,-110.3,0.5,DD,Yes,"Estudio de las praderas de fanerogamas marinas en Baja California Sur (Mexico): Ciclo de vida y estrategias reproductivas de Zostera marina, Halodule wrightii y Halophila decipiens",No,0,No,0,DD,,0,1,1,0.04274,0,,,La Paz,Baja California Sur,Southern Gulf
163,Halophila decipiens,2001,July-August,Santamaria-Gallegos et al.,Costa Baja,24.21,-110.3,5,DD,Yes,Occurrence and seasonality of Halophila decipiens in the Gulf Of California,No,0,No,0,DD,,0,1,1,0.04274,0,,,La Paz,Baja California Sur,Southern Gulf
164,Halophila decipiens,1999-2000,December-January,Santamaria-Gallegos et al.,Costa Baja,24.21,-110.3,5,DD,Yes,Occurrence and seasonality of Halophila decipiens in the Gulf Of California,No,0,No,0,DD,,0,1,1,0.04274,0,,,La Paz,Baja California Sur,Southern Gulf
